ConfigurationName,Focal,Sex,Sex_2,Species,Species_2,OriginCode,Origin,LifeExperienceCode,LifeExperience,PhysicalHarmCode,PhysicalHarm,TypeRearingCode,TypeRearing,InfancySocialExposureCode,InfancySocialExposure,JuvenileSocialExposureCode,JuvenileSocialExposure,NutritionDepCode,NutritionDep,MotherSeparationCode,MotherSeparation,RelocationsCode,Relocations,EstimatedAgeArrivalCode,EstimatedAgeArrivalGroup,EstimatedCurrentAgeCode,EstimatedCurrentAgeGroup,EstimatedAgeArrival,EstimatedCurrentAge,YearsCenter,YearsZoo,YearsRescue,Years exposed to adversity,% of lifetime exposed to adversity (years),Self-directed,Postural,Self-abuse,Kinetic,Oral,Others,Genital self-inspection,Other self-directed behaviours,Scratching/ Rubbing,Self-groom,Yawning,Grooming,Other affiliative,Other agonistic,Social play,Rank,SociallyConfident(R),Lonely,BizarreBehaviours,NoPhysicalCoordinated,CommunicationSkills(R),(Not)EyeContact,Playful(R),SocialAvoidance,SociallyAwkward,RestrictedInterests,Stereotypes,SociallyTense,StaresIntoSpace,Species-typicalReaction(R)
P4,Abby,a2,female,c4,Macaca_leonina,d2,Wild,f1,3,o2,2,e2,2,g3,3,h3,3,n2,2,i1,2,m4,4,j3,3y-8y (adolescence),b4,8y-15y (adulthood),4.02,9.68,5.66,0.66,5,4.68,0.48,0,0,0,0.32,0,0,0,0.57,2.03,1.46,0,2.6,1.38,0.08,0,0.19,4,3.33,2.67,2.33,2,3,4,3.33,3,2.33,2.33,4.33,2.33,3
P4,Baibboon,a1,male,c2,Macaca_assamensis,d2,Wild,f1,3,o2,2,e2,2,g2,2,h1,1,n2,2,i1,2,m3,3,j1,0m-14m (infancy),b2,14m-36m (juvenility),1.16,2.36,1.2,0,1.2,1.16,0.49,0.08,0,0.08,0,0,1.05,0.57,1.38,4.62,3.08,0,2.03,6.24,0.49,11.27,0.394,2,1.67,3.33,2.33,2.33,1.33,2,1.33,2,3,3,1.67,1,1.67
P10,Blinky,a1,male,c2,Macaca_assamensis,d2,Wild,f1,3,o2,2,e2,2,g4,NA,h2,2,n2,2,i1,2,m3,3,j2,14m-36m (juvenility),b3,3y-8y (adolescence),2.99,4.08,1.09,0,1.09,2.99,0.73,0.12,0,0,6.34,1.04,0.23,0.35,2.77,10.15,3.69,0,3.46,6,1.27,11.19,0.287,2,1.33,1.33,1,1,1,1.33,1,1.33,1,2,1.33,1,1.33
P6,BritneyEars,a2,female,c5,Macaca_mulatta,d2,Wild,f1,3,o3,3,e2,2,g3,3,h3,3,n2,2,i1,2,m2,2,j3,3y-8y (adolescence),b3,3y-8y (adolescence),5,7.48,2.48,0,2.48,5,0.67,0,0,0,0,0,0,0,2.25,4,2,0.25,0.42,0,0,0,0,5,3.33,3.67,3.67,3.67,4.67,4.67,4.33,4.67,3.67,1.67,5,2.33,2.67
P4,Buzz,a1,male,c4,Macaca_leonina,d2,Wild,f1,3,o4,NA,e1,1,g1,1,h1,1,n3,NA,i1,2,m3,3,j1,0m-14m (infancy),b2,14m-36m (juvenility),0.33,2.94,2.61,0,2.61,0.33,0.11,0,0,0,0,0.08,0,0,0.41,5.68,0.89,0,4.22,5.68,0.49,8.92,0.711,1,1,1,1,1,1,1,1,1,1,1,1,1,1.33
P9,Chitah,a2,female,c1,Macaca_arctoides,d2,Wild,f1,3,o1,1,e1,1,g2,2,h1,1,n1,1,i1,2,m2,2,j1,0m-14m (infancy),b3,3y-8y (adolescence),0.21,5.93,5.72,0.72,5,0.93,0.16,0.17,0,0,0,0,0,0,0.94,8.74,6.26,0.09,9.85,3.08,0.17,0,0.342,1,1.33,1,1,1,1,2.33,1,1,1.33,1.67,1,1.67,1
P9,Chock,a1,male,c1,Macaca_arctoides,d2,Wild,f1,3,o4,NA,e2,2,g3,3,h1,1,n2,2,i1,2,m2,2,j1,0m-14m (infancy),b4,8y-15y (adulthood),1.01,7.82,6.81,1.81,5,2.82,0.36,0.69,0.17,10.97,6.94,0,3.43,1.2,2.23,9.34,9,1.71,8.57,4.8,0.43,0,1,1.33,1.33,2.33,2,1,1.33,2.33,1.33,2,1.67,3.67,1.33,2,2
P5,Crazy,a1,male,c5,Macaca_mulatta,d2,Wild,f1,3,o4,NA,e2,2,g3,3,h3,3,n3,NA,i1,2,m3,3,j3,3y-8y (adolescence),b4,8y-15y (adulthood),NA,NA,NA,NA,NA,NA,NA,0.08,0.75,0.75,1.25,0.67,0.25,0.08,2.17,10.25,2.83,0.17,5,1.67,0.25,0,0.892,2,3.67,4.67,4,4.33,4,4.67,3,4.67,4.33,5,1.33,4.67,5
P5,Dam,a2,female,c2,Macaca_assamensis,d2,Wild,f2,3,o2,2,e2,2,g4,NA,h3,3,n3,NA,i1,2,m3,3,j3,3y-8y (adolescence),b4,8y-15y (adulthood),4,9.28,5.28,0.28,5,4.28,0.46,0,0.08,1.42,1,0,0.33,0,0.83,7.08,1.92,0.08,3.25,3.17,0.83,0,0.558,1.33,1.33,1.67,1,1.33,1.33,3,1.33,1.67,1.33,2,1.33,1.33,2
P10,Deng,a1,male,c2,Macaca_assamensis,d2,Wild,f1,3,o3,3,e2,2,g3,3,h2,2,n3,NA,i1,2,m3,3,j2,14m-36m (juvenility),b3,3y-8y (adolescence),1.48,7.47,5.99,0.99,5,2.47,0.33,0,0.17,3,2.75,1.08,0.83,0.33,1.42,9,4,0.5,6.42,8.33,0.42,4.33,0.927,1,2,2.33,2.33,2,1.67,2.33,1.67,3,1.33,3,1.33,1.33,2
